algorithm_name,dataset_size,data_corelated,avg_execution_time,avg_memory_usage,worst_solution_fitness,best_solution_fitness,avg_solution_fitness,variance_solution_fitness
PBIL,100,True,1.136734,6.378882,-220908.876997,-189114.553884,-210347.618828,92667354.823683
ClassicEvolutional,100,True,37.591198,16.628113,117.819897,117.819897,117.819897,0.0
PBIL,100,False,1.143117,6.3784,-206561.613688,-188445.963899,-199459.528492,33371867.241526
ClassicEvolutional,100,False,37.652625,16.628014,652.779162,673.378485,670.394955,38.746959
PBIL,200,True,2.251062,12.616206,-2453547.149621,-2337806.890229,-2414548.877833,1342188577.079061
ClassicEvolutional,200,True,39.990039,31.734978,240.921912,240.921912,240.921912,0.0
PBIL,200,False,2.260291,12.616206,-2307733.300831,-1994587.304412,-2206657.677258,8151817749.845747
ClassicEvolutional,200,False,39.982665,31.734978,2020.075171,2024.876893,2023.500866,3.087387
PBIL,300,True,3.424873,18.854034,-9242915.655719,-8666796.51981,-8999934.811627,23910472680.792255
ClassicEvolutional,300,True,42.293331,46.841972,345.160443,345.160443,345.160443,0.0
PBIL,300,False,3.406464,18.854017,-8551193.104499,-8056324.62903,-8397072.474199,20059039749.611794
ClassicEvolutional,300,False,41.834389,46.841972,3676.975561,3676.975561,3676.975561,0.0
PBIL,400,True,4.610792,25.091845,-23240321.309032,-22111892.614405,-22836596.997852,96490349543.93767
ClassicEvolutional,400,True,45.447685,61.948936,459.644834,459.644834,459.644834,0.0
PBIL,400,False,4.596092,25.091845,-23594579.349014,-22148290.680315,-22919353.597043,165131436206.64194
ClassicEvolutional,400,False,44.930667,61.948936,7690.172384,7714.966418,7708.532626,103.310957
